Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),City,IsCondo,Latitude,Longitude
12527000.0,1.0,1.0,45.0,0.0,Pasig,1,14.575822,121.064324
16332000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
21946000.0,1.0,1.0,65.0,0.0,Pasig,1,14.575822,121.064324
16007000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
27046000.0,1.0,1.0,70.0,0.0,Pasig,1,14.588377,121.059897
25579000.0,2.0,0.0,89.0,0.0,Pasig,1,14.588882,121.079016
22805000.0,1.0,1.0,70.0,0.0,Pasig,1,14.575822,121.064324
15492000.0,1.0,0.0,56.0,0.0,Pasig,1,14.588882,121.079016
22868000.0,1.0,1.0,67.0,0.0,Pasig,1,14.575822,121.064324
20712000.0,1.0,1.0,65.0,0.0,Pasig,1,14.575822,121.064324
22561000.0,1.0,1.0,65.0,0.0,Pasig,1,14.575822,121.064324
11853000.0,1.0,1.0,39.0,0.0,Pasig,1,14.575822,121.064324
12364000.0,1.0,1.0,41.0,0.0,Pasig,1,14.575822,121.064324
12527000.0,1.0,1.0,45.0,0.0,Pasig,1,14.575822,121.064324
12546000.0,1.0,1.0,45.0,0.0,Pasig,1,14.575822,121.064324
16332000.0,1.0,0.0,58.0,0.0,Pasig,1,14.588882,121.079016
21828000.0,1.0,1.0,65.0,0.0,Pasig,1,14.575822,121.064324
21946000.0,1.0,1.0,65.0,0.0,Pasig,1,14.575822,121.064324
28695000.0,2.0,0.0,89.0,0.0,Pasig,1,14.588882,121.079016
8830000.0,1.0,0.0,35.0,0.0,Pasig,1,14.588882,121.079016
8830000.0,1.0,0.0,35.0,0.0,Pasig,1,14.588882,121.079016
26849000.0,1.0,1.0,74.0,0.0,Pasig,1,14.588377,121.059897
26840000.0,1.0,1.0,74.0,0.0,Pasig,1,14.588377,121.059897
16382000.0,1.0,1.0,58.0,0.0,Pasig,1,14.588882,121.079016
30789000.0,2.0,2.0,104.0,0.0,Pasig,1,14.575822,121.064324
25579000.0,2.0,0.0,89.0,0.0,Pasig,1,14.588882,121.079016
27046000.0,1.0,1.0,70.0,0.0,Pasig,1,14.588377,121.059897
15492000.0,1.0,0.0,56.0,0.0,Pasig,1,14.588882,121.079016
8492000.0,1.0,1.0,35.0,0.0,Pasig,1,14.588882,121.079016
15635000.0,1.0,0.0,56.0,0.0,Pasig,1,14.588882,121.079016
16411000.0,1.0,0.0,57.0,0.0,Pasig,1,14.588882,121.079016
21370000.0,1.0,1.0,65.0,0.0,Pasig,1,14.575822,121.064324
26072000.0,1.0,1.0,76.0,0.0,Pasig,1,14.575822,121.064324
31864000.0,2.0,2.0,104.0,0.0,Pasig,1,14.575822,121.064324
21810000.0,1.0,1.0,65.0,0.0,Pasig,1,14.575822,121.064324
12261000.0,1.0,1.0,41.0,0.0,Pasig,1,14.575822,121.064324
12146000.0,1.0,1.0,40.0,0.0,Pasig,1,14.575822,121.064324
11777000.0,1.0,1.0,39.0,0.0,Pasig,1,14.575822,121.064324
11853000.0,1.0,1.0,39.0,0.0,Pasig,1,14.575822,121.064324
12364000.0,1.0,1.0,41.0,0.0,Pasig,1,14.575822,121.064324
